content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
1,11,0.042062;0.041346;0.041836;0.041714;0.041492;0.041310;0.042187;0.041756;0.040621;0.041318;0.040992;0.041039;0.041189;0.041652;0.041599;0.040530;0.041049;0.041287;0.041248;0.041517;0.041689;0.042037;0.040848;0.041703;0.042509;0.041954;0.041771;0.041859;0.042094;0.041310;0.042374;0.042393;0.041496;0.041213;0.042087;0.042859;0.041610;0.041522;0.041886;0.041655;0.041468;0.042410;0.043405;0.041533;0.041193;0.041724;0.041805;0.042270;0.041903,----,0.634600;0.403511;0.341392;0.318832;0.442610;0.519225;0.822226;0.501326;0.238152;0.369196;0.288604;0.221806;0.273257;0.471706;0.467055;0.000000;0.160682;0.433048;0.185095;0.408756;0.328204;0.704190;0.132690;0.525229;0.640522;0.474158;0.536587;0.607763;0.680240;0.496160;0.580748;0.709898;0.649200;0.707063;0.540647;0.800238;0.494494;0.416087;0.638977;0.677470;0.565486;0.380484;1.000000;0.727088;0.537970;0.742973;0.801522;0.729878;0.331531
1,12,0.047312;0.046847;0.048275;0.047708;0.049250;0.048910;0.048587;0.048012;0.047065;0.047940;0.048026;0.049420;0.048635;0.048137;0.049050;0.047175;0.046624;0.047580;0.049036;0.048929;0.048598;0.050687;0.047993;0.047381;0.047377;0.048665;0.048547;0.048872;0.051187;0.049205;0.047553;0.047809;0.047600;0.048042;0.048493;0.050041;0.048695;0.047303;0.047716;0.047375;0.047527;0.048799;0.049809;0.048507;0.048290;0.048368;0.048637;0.048519;0.049769,----,0.378417;0.047835;0.338091;0.335069;0.472223;0.678473;0.571821;0.271402;0.038407;0.192385;0.518934;0.506561;0.425021;0.349863;0.676155;0.175264;0.000000;0.453978;0.440186;0.491491;0.347815;0.933011;0.210578;0.317701;0.376325;0.526127;0.512393;0.493903;1.000000;0.592461;0.366069;0.519634;0.621777;0.603738;0.555408;0.779636;0.475311;0.334330;0.345245;0.385481;0.474619;0.588885;0.820263;0.626187;0.674075;0.707663;0.655044;0.682439;0.729948
1,13,0.041798;0.041052;0.041038;0.041137;0.041446;0.042861;0.043076;0.041949;0.040973;0.041675;0.041880;0.041615;0.042722;0.042705;0.041598;0.041489;0.041979;0.042566;0.042363;0.042139;0.042338;0.041762;0.041674;0.041609;0.042642;0.041939;0.041595;0.041604;0.041773;0.041808;0.041463;0.043172;0.042590;0.041167;0.041518;0.041375;0.042036;0.041730;0.042106;0.041784;0.041437;0.041830;0.042092;0.042658;0.041747;0.042566;0.043283;0.042513;0.041769,----,0.385734;0.271168;0.256037;0.284554;0.253348;0.697502;0.816151;0.428267;0.231258;0.476978;0.318160;0.279368;0.514755;0.651691;0.437888;0.000000;0.453456;0.507724;0.367583;0.418022;0.483045;0.500365;0.076069;0.412314;0.517330;0.582344;0.342906;0.373107;0.382832;0.308927;0.101278;0.561285;0.779480;0.568317;0.318975;0.187558;0.182398;0.243148;0.488290;0.626350;0.536466;0.213434;0.401819;0.658910;0.465634;0.926382;1.000000;0.539721;0.302746
1,14,0.040167;0.039684;0.039655;0.039512;0.039971;0.040127;0.040803;0.040516;0.040146;0.039993;0.040534;0.041250;0.040060;0.041088;0.040145;0.039619;0.039738;0.040434;0.041241;0.040759;0.041400;0.040938;0.039692;0.039622;0.040068;0.041031;0.039893;0.040731;0.040985;0.040378;0.040516;0.040881;0.040392;0.039853;0.040366;0.040693;0.040169;0.040193;0.040204;0.040770;0.039766;0.040556;0.040437;0.039758;0.039137;0.039239;0.039578;0.039945;0.040485,----,0.651599;0.686093;0.453520;0.791624;0.625487;0.603556;0.854155;0.711351;0.763626;0.648958;0.926398;0.866123;0.393568;0.698247;0.576448;0.550596;0.567209;0.934521;0.523049;0.766354;0.767689;0.791543;0.000000;0.359944;0.627195;0.801188;0.314590;0.747453;1.000000;0.456971;0.563535;0.779674;0.897839;0.580037;0.806042;0.607337;0.472360;0.493461;0.442672;0.403148;0.364966;0.618572;0.948667;0.631094;0.413407;0.520215;0.419447;0.420538;0.502872
1,15,0.051768;0.051662;0.051825;0.052442;0.052228;0.052037;0.051856;0.051721;0.051665;0.051717;0.051755;0.051554;0.051448;0.051751;0.051732;0.052078;0.051983;0.051695;0.051491;0.051270;0.051844;0.052146;0.051739;0.051565;0.051594;0.051311;0.051454;0.051683;0.052340;0.051874;0.051940;0.051580;0.051461;0.051982;0.051674;0.051866;0.051594;0.052215;0.052106;0.052050;0.052260;0.052024;0.051502;0.052019;0.052149;0.052153;0.051976;0.051788;0.051799,----,0.154640;0.498073;0.481629;0.877111;0.908053;0.712943;0.410302;0.000000;0.523206;0.438115;1.000000;0.553454;0.252702;0.128910;0.275395;0.322510;0.542056;0.635935;0.280115;0.166820;0.300476;0.474902;0.021887;0.669530;0.689640;0.593935;0.287093;0.402835;0.669528;0.783665;0.392577;0.307369;0.351894;0.709845;0.523736;0.410585;0.156877;0.297988;0.395473;0.314499;0.800339;0.862933;0.290309;0.377827;0.867528;0.639890;0.461243;0.227103;0.391120
1,16,0.105980;0.105394;0.105869;0.104568;0.105623;0.106944;0.106845;0.105388;0.104462;0.105329;0.104113;0.105115;0.105260;0.104729;0.105275;0.103433;0.104296;0.103747;0.104225;0.103961;0.104027;0.105699;0.105009;0.104885;0.102882;0.102889;0.103674;0.105033;0.104847;0.104824;0.104481;0.103282;0.103759;0.104109;0.104764;0.104300;0.104964;0.104605;0.104827;0.103691;0.104314;0.105023;0.105232;0.105235;0.106176;0.107394;0.105795;0.105482;0.105795,----,1.000000;0.881965;0.721597;0.327926;0.104605;0.812810;0.712615;0.693599;0.499010;0.263966;0.171059;0.000000;0.487062;0.532515;0.376204;0.437627;0.338372;0.123092;0.472961;0.450539;0.111406;0.466331;0.501083;0.481034;0.465832;0.438218;0.414081;0.358760;0.503192;0.444641;0.461742;0.463261;0.306180;0.408675;0.291741;0.492164;0.530258;0.676490;0.585470;0.481820;0.484876;0.297941;0.515617;0.458368;0.730744;0.855601;0.634994;0.517330;0.427237
1,17,0.055243;0.054445;0.054446;0.054177;0.054209;0.054298;0.055072;0.055479;0.054493;0.054307;0.054536;0.054598;0.055116;0.055811;0.058056;0.056014;0.055798;0.055772;0.055827;0.056166;0.057470;0.059929;0.058857;0.057080;0.056317;0.056516;0.056281;0.058820;0.057889;0.055676;0.055945;0.055431;0.056503;0.057277;0.058915;0.056358;0.055831;0.055797;0.055054;0.054965;0.055875;0.058086;0.054930;0.053922;0.054078;0.053863;0.054853;0.054424;0.054422,----,0.291401;0.293781;0.219552;0.269041;0.348805;0.276991;0.253285;0.354529;0.000000;0.222436;0.355342;0.641230;0.510344;0.368527;0.823322;0.142635;0.089830;0.421878;0.718335;0.530044;0.448271;1.000000;0.840957;0.436392;0.511642;0.836531;0.764775;0.898751;0.835802;0.750927;0.559367;0.357080;0.778923;0.978997;0.994839;0.481501;0.533633;0.474877;0.249114;0.421415;0.687949;0.803083;0.342077;0.187008;0.195544;0.201071;0.621184;0.496292;0.400045
1,18,0.049756;0.047009;0.045599;0.045076;0.045198;0.046265;0.047469;0.049170;0.046156;0.044826;0.046034;0.044960;0.046119;0.047211;0.047825;0.045621;0.045590;0.047442;0.045797;0.046518;0.046997;0.046519;0.045108;0.044463;0.046530;0.046532;0.047049;0.047303;0.045557;0.043880;0.044211;0.045690;0.046254;0.045635;0.045711;0.046811;0.044116;0.044421;0.045895;0.046113;0.043498;0.044087;0.047037;0.045273;0.044382;0.045496;0.044446;0.042891;0.043975,----,1.000000;0.550140;0.303471;0.421174;0.296378;0.503367;0.600698;0.692363;0.376610;0.377137;0.550461;0.303565;0.377298;0.258279;0.567148;0.253097;0.305629;0.646989;0.208160;0.206566;0.107792;0.458025;0.296235;0.210730;0.483519;0.717492;0.419160;0.348847;0.476146;0.394590;0.267921;0.317546;0.548752;0.403645;0.353579;0.449025;0.169044;0.179631;0.376092;0.448580;0.028243;0.000000;0.451174;0.301476;0.243537;0.381373;0.349072;0.154396;0.132200
1,19,0.061945;0.063063;0.062944;0.063978;0.064760;0.064464;0.064367;0.064856;0.064608;0.064205;0.064456;0.065163;0.065439;0.065974;0.064891;0.064465;0.064746;0.063857;0.063394;0.062504;0.064320;0.063688;0.063513;0.065307;0.063365;0.062349;0.060622;0.062159;0.063456;0.063725;0.064965;0.064434;0.064848;0.063508;0.062379;0.063227;0.064365;0.064977;0.065216;0.066621;0.066127;0.064389;0.061749;0.062791;0.064138;0.065399;0.065325;0.065336;0.065254,----,0.373061;0.520201;0.398096;0.601388;0.680974;0.703401;0.671981;0.516811;0.513627;0.658326;0.694251;0.667195;0.698119;0.865240;0.589752;0.545882;0.555076;0.435710;0.371178;0.299233;0.465396;0.588153;0.391600;0.623716;0.374858;0.276934;0.000000;0.229192;0.580361;0.473143;0.687286;0.531828;0.575111;0.483822;0.467091;0.478679;0.464677;0.603931;0.593990;0.911623;1.000000;0.713953;0.424542;0.483490;0.585231;0.815591;0.727331;0.845503;0.693232
1,20,0.068537;0.067009;0.066731;0.066783;0.066960;0.067076;0.068317;0.068710;0.068078;0.068126;0.068154;0.068733;0.069356;0.070113;0.070286;0.069749;0.069859;0.071137;0.072727;0.074045;0.073937;0.070151;0.069191;0.070342;0.072243;0.077714;0.077905;0.079597;0.068699;0.067683;0.068484;0.069243;0.073138;0.074620;0.078924;0.067660;0.067218;0.066991;0.066303;0.066459;0.068762;0.073912;0.065942;0.064139;0.063901;0.063465;0.064075;0.065363;0.068553,----,0.432250;0.317952;0.333845;0.325235;0.434120;0.314831;0.309947;0.353171;0.396422;0.405781;0.330965;0.375420;0.362314;0.388024;0.522494;0.447267;0.531209;0.577021;0.511946;0.592588;0.647945;0.495684;0.484738;0.582734;0.633456;0.864748;0.851189;0.992278;0.493435;0.457200;0.387430;0.451315;0.812013;0.808485;1.000000;0.377487;0.360214;0.263350;0.315070;0.345266;0.395350;0.570034;0.341804;0.169002;0.113272;0.000000;0.140946;0.167069;0.322093
1,21,0.105728;0.104573;0.104614;0.103485;0.104963;0.105404;0.106880;0.104673;0.104391;0.104143;0.103791;0.105768;0.105287;0.105471;0.106754;0.104158;0.102849;0.102970;0.104815;0.104893;0.105238;0.106625;0.104330;0.104304;0.104698;0.105303;0.106801;0.107220;0.105092;0.104397;0.106243;0.106675;0.104940;0.104781;0.106327;0.103605;0.103615;0.103555;0.103905;0.101058;0.100732;0.105231;0.101372;0.100658;0.099691;0.099008;0.097209;0.099019;0.103330,----,0.804836;0.637895;0.816280;0.383804;0.832255;0.772252;1.000000;0.436926;0.324428;0.516673;0.322293;0.648524;0.498550;0.613075;0.679304;0.504410;0.245662;0.339548;0.703878;0.548113;0.561329;0.757988;0.496748;0.062139;0.455085;0.487373;0.625394;0.591568;0.592948;0.485546;0.551833;0.729979;0.610254;0.626343;0.691204;0.457449;0.304266;0.294069;0.298894;0.266103;0.299977;0.453518;0.436570;0.229908;0.274592;0.064067;0.000000;0.457816;0.487022
1,22,0.052422;0.048025;0.047065;0.047447;0.047526;0.047763;0.048254;0.053530;0.048366;0.047835;0.048216;0.048234;0.048236;0.048237;0.051700;0.046016;0.047108;0.047854;0.046553;0.045803;0.046890;0.050962;0.047523;0.046757;0.046175;0.044860;0.043940;0.045528;0.048787;0.046132;0.045251;0.043691;0.044140;0.043720;0.044600;0.046428;0.044703;0.045221;0.044706;0.047086;0.044892;0.047932;0.046083;0.045450;0.045445;0.045688;0.047278;0.045092;0.048065,----,0.989648;0.273135;0.257743;0.377112;0.449467;0.542396;0.619930;1.000000;0.358672;0.401025;0.460161;0.604348;0.445303;0.342987;0.822088;0.000000;0.327495;0.451654;0.286955;0.059256;0.234596;0.803969;0.264027;0.380419;0.343333;0.277018;0.170465;0.089787;0.523969;0.273389;0.239880;0.062789;0.300258;0.235687;0.030365;0.386697;0.245945;0.347729;0.366517;0.553778;0.272366;0.430385;0.409813;0.374810;0.305592;0.466631;0.546659;0.065746;0.305338
1,23,0.077613;0.078089;0.079673;0.080271;0.078540;0.077736;0.076324;0.077687;0.077831;0.078909;0.079035;0.078331;0.076578;0.076588;0.077745;0.078062;0.077665;0.077623;0.078222;0.076696;0.076359;0.077424;0.076663;0.077753;0.078299;0.078287;0.076317;0.076463;0.077317;0.076025;0.078315;0.078255;0.077549;0.076081;0.078486;0.075999;0.073801;0.074771;0.076654;0.075632;0.075304;0.077942;0.077046;0.075269;0.074489;0.076639;0.076207;0.076635;0.079111,----,0.652917;0.706985;0.732303;0.818159;0.634080;0.581810;0.091990;0.576727;0.676106;0.740756;1.000000;0.578443;0.302217;0.064313;0.743008;0.683518;0.666599;0.626980;0.527674;0.284144;0.233521;0.538006;0.590400;0.650911;0.559810;0.770960;0.414920;0.239143;0.637536;0.421893;0.683001;0.801346;0.735003;0.434025;0.559894;0.283492;0.232411;0.000000;0.400702;0.564596;0.604379;0.500185;0.435219;0.521842;0.271791;0.642338;0.814426;0.717131;0.746326
1,24,0.030819;0.030512;0.030875;0.030538;0.030299;0.030399;0.030775;0.030807;0.030539;0.030887;0.030628;0.031132;0.031054;0.030758;0.031352;0.030659;0.030592;0.030685;0.031080;0.030892;0.030572;0.031491;0.030687;0.030925;0.031096;0.031387;0.031121;0.030645;0.031273;0.030614;0.030634;0.030833;0.031244;0.031221;0.030943;0.031754;0.030891;0.030116;0.030041;0.030549;0.031152;0.031063;0.031523;0.031282;0.030529;0.030476;0.030452;0.030993;0.031338,----,0.729810;0.150869;0.329723;0.143630;0.474736;0.599298;0.508416;0.514769;0.248805;0.437941;0.735503;0.359468;0.539762;0.379893;0.641329;0.002911;0.281185;0.791652;0.000000;0.418388;0.058428;0.763562;0.532720;0.924509;0.818147;0.540875;0.361568;0.146856;0.664854;0.787634;0.626784;0.764061;0.962636;0.922264;0.317492;0.768136;0.531842;0.200834;0.401683;0.360704;0.339871;0.453184;0.984270;1.000000;0.453930;0.769289;0.593927;0.575340;0.574477
1,25,0.066235;0.065107;0.064464;0.065058;0.065414;0.065305;0.065508;0.065797;0.064708;0.064135;0.064384;0.064668;0.064302;0.064981;0.065135;0.065026;0.064459;0.064901;0.064410;0.064152;0.065078;0.065073;0.064735;0.064601;0.065103;0.064172;0.064533;0.065148;0.065253;0.065030;0.065030;0.064353;0.064100;0.064684;0.064726;0.065076;0.065045;0.064858;0.064027;0.064373;0.064901;0.064926;0.065293;0.065404;0.065341;0.065103;0.065086;0.065465;0.064848,----,0.933838;0.635695;0.000000;0.125425;0.563143;0.963727;0.785611;0.945412;0.543591;0.076919;0.284802;0.475115;0.715921;0.454452;0.540904;0.468250;0.451043;0.812299;0.265690;0.394362;0.730965;0.665083;0.510787;0.754029;0.982428;0.372664;0.374933;0.546397;0.944425;0.477152;0.490591;0.363564;0.319070;0.177397;0.533142;0.897052;0.433522;0.449749;0.335570;0.534426;0.375244;0.370216;1.000000;0.835674;0.629191;0.747457;0.594038;0.717175;0.467192
1,26,0.052529;0.053640;0.053773;0.054092;0.054132;0.054844;0.053611;0.052761;0.053330;0.054241;0.053621;0.053628;0.054541;0.054397;0.053213;0.053605;0.053452;0.052913;0.052767;0.054158;0.054543;0.053568;0.053103;0.052826;0.051702;0.053599;0.054890;0.053857;0.053539;0.053508;0.052661;0.051009;0.052920;0.054678;0.052775;0.052686;0.052330;0.052206;0.051325;0.050752;0.051759;0.052128;0.051908;0.051857;0.050894;0.051043;0.051672;0.050809;0.051700,----,0.559320;0.712430;0.630768;0.774242;0.875536;1.000000;0.784384;0.292382;0.280859;0.596382;0.684539;0.823315;0.766996;0.552305;0.521695;0.270287;0.311233;0.408034;0.243620;0.315502;0.438159;0.430691;0.409369;0.284865;0.304669;0.689637;0.715688;0.580672;0.619982;0.628777;0.415685;0.000000;0.297409;0.632820;0.528168;0.562361;0.477764;0.277546;0.137189;0.025379;0.281072;0.395051;0.463369;0.381380;0.194978;0.376137;0.257897;0.263454;0.180505
1,27,0.045887;0.044665;0.044240;0.044108;0.044479;0.043539;0.043557;0.044419;0.043783;0.044670;0.044451;0.044146;0.043036;0.043709;0.044894;0.043753;0.044078;0.043737;0.043106;0.042783;0.043812;0.045750;0.044590;0.044035;0.043049;0.042385;0.042495;0.044131;0.045511;0.044820;0.044582;0.044269;0.043431;0.043414;0.044810;0.043997;0.044041;0.044602;0.043938;0.043736;0.043998;0.044554;0.043393;0.043539;0.043422;0.042782;0.042465;0.042951;0.043263,----,0.781532;0.525437;0.399623;0.737292;0.722980;0.427262;0.315619;0.375188;0.225905;0.478237;0.517508;0.668601;0.229278;0.453016;0.842534;0.288748;0.468169;0.376744;0.185312;0.052421;0.218382;0.924214;0.446734;0.348384;0.182465;0.000000;0.069943;0.349867;1.000000;0.765500;0.674768;0.563983;0.469036;0.582166;0.720716;0.626432;0.595347;0.560176;0.535105;0.646626;0.774117;0.669427;0.601770;0.561307;0.282469;0.397018;0.295040;0.424959;0.393200
1,28,0.054978;0.054694;0.054935;0.054668;0.054575;0.055506;0.057154;0.055032;0.054762;0.054590;0.053999;0.053928;0.055325;0.056826;0.054629;0.053813;0.054217;0.055153;0.055242;0.055575;0.057445;0.055979;0.054866;0.054670;0.056616;0.055454;0.055847;0.057200;0.057372;0.055286;0.056410;0.058168;0.057241;0.056961;0.056608;0.057724;0.055824;0.057126;0.057533;0.057843;0.057955;0.057995;0.057837;0.057112;0.058034;0.057872;0.057909;0.058078;0.058138,----,0.578732;0.315270;0.345895;0.385410;0.352682;0.521540;0.737553;0.266002;0.133992;0.019843;0.202808;0.250237;0.374638;0.554470;0.356563;0.052135;0.173343;0.412094;0.192086;0.411050;0.626790;0.457056;0.163119;0.000000;0.346451;0.390881;0.295854;0.721402;0.602624;0.229133;0.389165;0.508537;0.615466;0.663094;0.500621;0.742342;0.503813;0.478790;0.725712;0.899166;0.884286;0.781234;0.832520;0.699898;0.852761;0.796805;1.000000;0.981498;0.916017
